# Vicmap Admin LGA_POLYGON (FeatureServer/9) lga_code to lga_name; CC BY Vicmap
lga_code,lga_name
300,ALPINE
301,ARARAT
302,BALLARAT
303,BANYULE
304,BASS COAST
305,BAW BAW
306,BAYSIDE
307,BOROONDARA
308,BRIMBANK
309,BULOKE
310,CAMPASPE
311,CARDINIA
312,CASEY
313,CENTRAL GOLDFIELDS
314,COLAC OTWAY
315,CORANGAMITE
316,DAREBIN
319,EAST GIPPSLAND
320,FRANKSTON
321,GANNAWARRA
322,GLEN EIRA
323,GLENELG
324,GOLDEN PLAINS
325,GREATER BENDIGO
326,GREATER DANDENONG
327,GREATER GEELONG
328,GREATER SHEPPARTON
329,HEPBURN
330,HINDMARSH
331,HOBSONS BAY
332,HORSHAM
333,HUME
334,INDIGO
335,KINGSTON
336,KNOX
337,LATROBE
338,LODDON
339,MACEDON RANGES
340,MANNINGHAM
341,MARIBYRNONG
342,MAROONDAH
343,MELBOURNE
344,MELTON
345,MILDURA
346,MITCHELL
347,MOIRA
348,MONASH
349,MOONEE VALLEY
350,MOORABOOL
351,MERRI-BEK
352,MORNINGTON PENINSULA
353,MOUNT ALEXANDER
354,MOYNE
355,MURRINDINDI
356,NILLUMBIK
357,NORTHERN GRAMPIANS
358,PORT PHILLIP
359,PYRENEES
360,QUEENSCLIFFE
361,SOUTH GIPPSLAND
362,SOUTHERN GRAMPIANS
363,STONNINGTON
364,STRATHBOGIE
365,SURF COAST
366,SWAN HILL
367,TOWONG
368,WANGARATTA
369,WARRNAMBOOL
370,WELLINGTON
371,WEST WIMMERA
372,WHITEHORSE
373,WHITTLESEA
374,WODONGA
375,WYNDHAM
376,YARRA
377,YARRA RANGES
378,YARRIAMBIACK
379,FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINC)
381,BENALLA
382,MANSFIELD
383,MOUNT BAW BAW ALPINE RESORT (UNINC)
384,MOUNT BULLER ALPINE RESORT (UNINC)
385,LAKE MOUNTAIN ALPINE RESORT (UNINC)
386,FALLS CREEK ALPINE RESORT (UNINC)
387,MOUNT STIRLING ALPINE RESORT (UNINC)
388,MOUNT HOTHAM ALPINE RESORT (UNINC)
389,GABO ISLAND (UNINC)
